Pipeline,Condition,Vendor_P,Vendor_R,Vendor_F1,Vendor_Exact,Date_P,Date_R,Date_F1,Date_Exact,Total_P,Total_R,Total_F1,Total_Exact,Micro_F1
OCR,clean,0.325,1.0,0.4906,0.325,1.0,0.6456,0.7846,0.6456,0.4805,0.925,0.6325,0.4625,0.6459
OCR,corrupted,0.2564,0.9091,0.4,0.25,0.9688,0.3974,0.5636,0.3924,0.371,0.561,0.4466,0.2875,0.4728
Donut-PT,clean,0.0,0.0,0.0,0.0,1.0,0.0253,0.0494,0.0253,0.0,0.0,0.0,0.0,0.0166
Donut-FT,clean,0.7,1.0,0.8235,0.7,0.4675,0.9474,0.6261,0.4557,0.6375,1.0,0.7786,0.6375,0.7487
Donut-FT,corrupted,0.525,1.0,0.6885,0.525,0.3867,0.8788,0.537,0.3671,0.475,1.0,0.6441,0.475,0.6264
